

country,year_1961_production,year_1971_production,year_1981_production,year_1991_production,year_2001_production,year_2011_production,year_2021_production
Angola,168600.0,228000.0,20640.0,5000.0,3300.0,10192.0,10304.0
Belize,0.0,0.0,0.0,0.0,229.0,90.68,89.62
Benin,2090.0,2229.0,585.0,180.0,150.0,65.0,55.0
Bolivia,4400.0,12400.0,21325.0,14071.0,24086.0,27596.4,23451.98
Brazil,2228704.0,1551462.0,2032210.0,1520382.0,1819569.0,2700540.0,2993780.0
Burundi,14000.0,25051.0,43824.0,34204.0,70980.0,41960.0,17100.0
Cambodia,240.0,600.0,68.0,170.0,300.0,348.8,375.64
Cameroon,44700.0,94790.0,109286.0,115080.0,70500.0,26322.0,36096.13
Cape Verde,52.0,185.0,100.0,10.0,0.0,62.0,40.73
Central African Republic,8200.0,6065.0,17000.0,17625.0,12300.0,6217.62,10061.59
China,1500.0,3900.0,6000.0,3500.0,17202.0,65384.0,108000.0
Colombia,450000.0,468000.0,782200.0,970740.0,656160.0,468540.0,560340.0
Comoros,100.0,120.0,82.0,91.0,100.99,127.35,139.8
Congo,900.0,1286.0,2580.0,1401.0,1612.0,2900.7,3138.04
Cook Islands,3.0,10.0,2.0,2.0,6.62,0.33,0.45
Costa Rica,61769.0,89350.0,113102.0,158000.0,150289.0,95038.0,88200.0
Cote d'Ivoire,185500.0,239706.0,366839.0,198909.0,301127.0,32291.0,134700.0
Cuba,37000.0,25987.0,21616.0,22740.0,15720.0,10150.0,9100.0
Democratic Republic of Congo,54000.0,74600.0,93400.0,95000.0,34723.0,31810.0,54089.21
Dominica,0.0,0.0,168.0,205.0,368.33,280.79,230.7
Dominican Republic,36210.0,45000.0,52206.0,55222.0,35476.0,22679.85,16186.14
East Timor,1700.0,5275.0,8000.0,8538.26,14134.0,8320.0,13313.98
Ecuador,53500.0,62252.0,86085.0,116917.0,164790.0,23829.0,4916.87
El Salvador,122500.0,144624.0,180000.0,149450.0,112201.0,82095.0,33900.0
Equatorial Guinea,6600.0,6900.0,6600.0,6000.0,5000.0,4342.63,4138.75
Ethiopia,0.0,0.0,0.0,0.0,157155.0,376823.0,456000.0
Ethiopia (former),127400.0,182200.0,202000.0,210000.0,0.0,0.0,0.0
Fiji,0.0,13.0,20.0,354.0,16.15,16.47,14.05
French Polynesia,113.0,110.0,121.0,13.0,17.55,20.0,21.1
Gabon,1100.0,600.0,750.0,451.0,60.0,109.31,98.72
Ghana,1700.0,7322.0,1500.0,2300.0,1379.0,550.0,736.0
Guadeloupe,500.0,270.0,10.0,20.0,35.0,0.0,0.0
Guatemala,100600.0,128386.0,193830.0,196190.0,261096.84,265401.44,226700.0
Guinea,15000.0,12500.0,14400.0,30000.0,14160.0,30320.0,40273.08
Guyana,860.0,761.0,1560.0,300.0,153.0,420.0,600.0
